Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ReqresSuite,,,,16-04-2024 11:27:47,16-04-2024 11:27:49,2.091s,PASSED
,,,,,,,
Test Cases/ReqResTests/ListUsersTest,,,,16-04-2024 11:27:48,16-04-2024 11:27:49,1.768s,PASSED
"ResponseUsers = sendRequest(findTestObject(""RestReqServices/ListUsers""))",,,,16-04-2024 11:27:48,16-04-2024 11:27:49,1.481s,PASSED
"verifyResponseStatusCode(ResponseUsers, 200, STOP_ON_FAILURE)",,,,16-04-2024 11:27:49,16-04-2024 11:27:49,0.032s,PASSED
"verifyElementPropertyValue(ResponseUsers, ""data[0].first_name"", ""Michael"")",,,,16-04-2024 11:27:49,16-04-2024 11:27:49,0.093s,PASSED
