Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ReqresSuite,,,,16-04-2024 11:12:34,16-04-2024 11:12:36,1.916s,PASSED
,,,,,,,
Test Cases/ReqResTests/ListUsersTest,,,,16-04-2024 11:12:35,16-04-2024 11:12:36,1.590s,PASSED
"ResponseUsers = sendRequest(findTestObject(""RestReqServices/ListUsers""))",,,,16-04-2024 11:12:35,16-04-2024 11:12:36,1.310s,PASSED
"verifyResponseStatusCode(ResponseUsers, 200, STOP_ON_FAILURE)",,,,16-04-2024 11:12:36,16-04-2024 11:12:36,0.032s,PASSED
"verifyElementPropertyValue(ResponseUsers, ""data[0].first_name"", ""Michael"")",,,,16-04-2024 11:12:36,16-04-2024 11:12:36,0.094s,PASSED
