Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SingleUserSuit,,,,16-04-2024 11:25:28,16-04-2024 11:25:30,2.118s,PASSED
,,,,,,,
Test Cases/ReqResTests/SingleUserTest,,,,16-04-2024 11:25:28,16-04-2024 11:25:30,1.816s,PASSED
"SingleUserResponse = sendRequest(findTestObject(""RestReqServices/SingleUser""))",,,,16-04-2024 11:25:28,16-04-2024 11:25:30,1.650s,PASSED
"verifyResponseStatusCode(SingleUserResponse, 200)",,,,16-04-2024 11:25:30,16-04-2024 11:25:30,0.020s,PASSED
